depth,move number,Prunings,Winner,Which Heur,Who First
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11160,--,new,MMB
5,3,8623,--,new,MMB
5,4,5030,--,new,MMB
5,5,4141,--,new,MMB
5,6,2902,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,9433,--,new,MMB
5,3,8493,--,new,MMB
5,4,6020,--,new,MMB
5,5,4325,--,new,MMB
5,6,2379,--,new,MMB
5,7,1702,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,9433,--,new,MMB
5,3,8743,--,new,MMB
5,4,4296,--,new,MMB
5,5,3574,--,new,MMB
5,6,2758,--,new,MMB
5,7,1898,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,9433,--,new,MMB
5,3,8549,--,new,MMB
5,4,5705,--,new,MMB
5,5,3861,--,new,MMB
5,6,2144,--,new,MMB
5,7,1554,--,new,MMB
5,8,623,--,new,MMB
5,9,503,--,new,MMB
5,10,249,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11163,--,new,MMB
5,3,8685,--,new,MMB
5,4,6271,--,new,MMB
5,5,4020,--,new,MMB
5,6,2778,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,10068,--,new,MMB
5,3,8776,--,new,MMB
5,4,5977,--,new,MMB
5,5,4369,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,10157,--,new,MMB
5,3,8587,--,new,MMB
5,4,6066,--,new,MMB
5,5,4312,--,new,MMB
5,6,2419,--,new,MMB
5,7,1846,--,new,MMB
5,8,1017,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11077,--,new,MMB
5,3,7939,--,new,MMB
5,4,6529,--,new,MMB
5,5,4510,--,new,MMB
5,6,2866,--,new,MMB
5,0,0,X,new,MMB
5,1,2959,--,old,RB
5,2,6067,--,old,RB
5,3,4613,--,old,RB
5,4,5085,--,old,RB
5,5,3534,--,old,RB
5,6,1219,--,old,RB
5,7,1062,--,old,RB
5,8,761,--,old,RB
5,9,99,--,old,RB
5,0,0,O,old,RB
5,1,5981,--,old,RB
5,2,9836,--,old,RB
5,3,6882,--,old,RB
5,4,2065,--,old,RB
5,5,2305,--,old,RB
5,6,1513,--,old,RB
5,7,1009,--,old,RB
5,8,603,--,old,RB
5,9,269,--,old,RB
5,10,89,--,old,RB
5,11,14,--,old,RB
5,12,0,--,old,RB
5,0,0,O,old,RB
5,1,2994,--,old,RB
5,2,4841,--,old,RB
5,3,6955,--,old,RB
5,4,4377,--,old,RB
5,5,3203,--,old,RB
5,6,2356,--,old,RB
5,7,1203,--,old,RB
5,0,0,O,old,RB
5,1,2961,--,old,RB
5,2,5421,--,old,RB
5,3,4966,--,old,RB
5,4,3434,--,old,RB
5,5,3114,--,old,RB
5,6,2511,--,old,RB
5,7,1012,--,old,RB
5,0,0,O,old,RB
5,1,5937,--,old,RB
5,2,10055,--,old,RB
5,3,7122,--,old,RB
5,4,4408,--,old,RB
5,5,3281,--,old,RB
5,6,2192,--,old,RB
5,7,36,--,old,RB
5,8,0,--,old,RB
5,9,0,--,old,RB
5,0,0,,old,RB
5,1,5937,--,old,RB
5,2,9815,--,old,RB
5,3,7261,--,old,RB
5,4,1424,--,old,RB
5,5,1357,--,old,RB
5,6,737,--,old,RB
5,7,245,--,old,RB
5,8,634,--,old,RB
5,0,0,O,old,RB
5,1,3936,--,old,RB
5,2,9664,--,old,RB
5,3,7232,--,old,RB
5,4,3998,--,old,RB
5,5,2729,--,old,RB
5,6,1782,--,old,RB
5,7,758,--,old,RB
5,8,489,--,old,RB
5,9,310,--,old,RB
5,10,66,--,old,RB
5,0,0,O,old,RB
5,1,5964,--,old,RB
5,2,9971,--,old,RB
5,3,7222,--,old,RB
5,4,3323,--,old,RB
5,5,3073,--,old,RB
5,6,2242,--,old,RB
5,7,712,--,old,RB
5,8,368,--,old,RB
5,9,174,--,old,RB
5,0,0,O,old,RB
5,1,5937,--,old,RB
5,2,9653,--,old,RB
5,3,4971,--,old,RB
5,4,1969,--,old,RB
5,5,2998,--,old,RB
5,6,486,--,old,RB
5,0,0,,old,RB
5,1,2998,--,old,RB
5,2,3564,--,old,RB
5,3,7169,--,old,RB
5,4,2459,--,old,RB
5,5,1050,--,old,RB
5,6,693,--,old,RB
5,7,518,--,old,RB
5,8,455,--,old,RB
5,9,345,--,old,RB
5,0,0,O,old,RB
5,1,3006,--,old,RB
5,2,5072,--,old,RB
5,3,7239,--,old,RB
5,4,1638,--,old,RB
5,5,3028,--,old,RB
5,6,2082,--,old,RB
5,7,1347,--,old,RB
5,0,0,O,old,RB
5,1,5937,--,old,RB
5,2,9623,--,old,RB
5,3,7143,--,old,RB
5,4,4525,--,old,RB
5,5,3272,--,old,RB
5,6,2298,--,old,RB
5,7,1297,--,old,RB
5,8,759,--,old,RB
5,0,0,O,old,RB
5,1,2952,--,old,RB
5,2,4342,--,old,RB
5,3,4384,--,old,RB
5,4,4717,--,old,RB
5,5,2339,--,old,RB
5,6,1994,--,old,RB
5,7,886,--,old,RB
5,8,405,--,old,RB
5,9,0,--,old,RB
5,0,0,O,old,RB
5,1,5954,--,old,RB
5,2,8654,--,old,RB
5,3,6716,--,old,RB
5,4,4890,--,old,RB
5,5,3184,--,old,RB
5,6,2554,--,old,RB
5,7,1421,--,old,RB
5,8,602,--,old,RB
5,9,277,--,old,RB
5,10,133,--,old,RB
5,0,0,O,old,RB
5,1,2961,--,old,RB
5,2,9782,--,old,RB
5,3,7311,--,old,RB
5,4,1246,--,old,RB
5,5,1156,--,old,RB
5,6,907,--,old,RB
5,7,425,--,old,RB
5,8,606,--,old,RB
5,9,342,--,old,RB
5,0,0,O,old,RB
5,1,3974,--,old,RB
5,2,4648,--,old,RB
