depth,move number,Going First,Minimax Bot time to Make Move,Winner
5,6,1,0.46000075340270996,O

5,1,1,9.810969591140747,

5,2,1,2.5981578826904297,

5,3,1,1.7620387077331543,

5,4,1,2.842231512069702,

5,5,1,1.3817062377929688,

5,6,1,0.4389050006866455,O

5,1,1,8.116580963134766,

5,2,1,3.109417200088501,

5,3,1,2.119361162185669,

5,4,1,1.3123900890350342,

5,5,1,1.7950012683868408,

5,6,1,0.6746668815612793,

5,7,1,0.3706045150756836,

5,8,1,0.17951560020446777,

5,9,1,0.08852171897888184,

5,10,1,0.028001070022583008,O

5,1,1,8.967235088348389,

5,2,1,4.45077657699585,

5,3,1,2.322664976119995,

5,4,1,1.6021454334259033,

5,5,1,1.777043342590332,

5,6,1,0.40706825256347656,

5,7,1,0.5289998054504395,O

5,1,1,7.694630146026611,

5,2,1,2.354182004928589,

5,3,1,2.9291272163391113,

5,4,1,1.519150972366333,

5,5,1,1.1025714874267578,

5,6,1,0.4554104804992676,

5,7,1,0.505136251449585,

5,8,1,0.19501352310180664,

5,9,1,0.06500244140625,O

5,1,1,7.546443700790405,

5,2,1,2.1112923622131348,

5,3,1,1.7732164859771729,

5,4,1,2.588001251220703,

5,5,1,1.7225584983825684,

5,6,1,0.7270815372467041,

5,7,1,0.5227258205413818,

5,8,1,0.27321410179138184,

5,9,1,0.0689992904663086,

5,10,1,0.029466867446899414,

5,11,1,0.006169795989990234,

5,12,1,0,O

5,1,1,8.193317413330078,

5,2,1,3.0613412857055664,

5,3,1,1.79600191116333,

5,4,1,3.0120015144348145,

5,5,1,1.2430596351623535,

5,6,1,0.5679998397827148,

5,7,1,0.3640151023864746,

5,8,1,0.16100120544433594,O

5,1,1,7.841045618057251,

5,2,1,2.6190004348754883,

5,3,1,2.554107427597046,

5,4,1,1.6529886722564697,

5,5,1,0.8940002918243408,

5,6,1,0.7141344547271729,

5,7,1,0.46200132369995117,

5,8,1,0.1881399154663086,O

5,1,1,10.504190683364868,

5,2,1,4.694001197814941,

5,3,1,2.696000099182129,

5,4,1,3.3990514278411865,

5,5,1,1.7239983081817627,

5,6,1,1.0139989852905273,

5,7,1,0.44300103187561035,

5,8,1,0.21399974822998047,

5,9,1,0.08500027656555176,

5,10,1,0.028000831604003906,O

5,1,1,8.438224792480469,

5,2,1,1.7478275299072266,

5,3,1,1.581000566482544,

5,4,1,3.6130776405334473,

5,5,1,1.3620617389678955,

5,6,1,0.5190012454986572,O

5,1,1,7.9259679317474365,

5,2,1,3.694000005722046,

5,3,1,1.7870004177093506,

5,4,1,1.4820003509521484,

5,5,1,1.5870001316070557,

5,6,1,0.5590002536773682,

5,7,1,0.38499927520751953,O

5,1,1,8.351516962051392,

5,2,1,3.3690004348754883,

5,3,1,2.7100579738616943,

5,4,1,1.5755233764648438,

5,5,1,0.8500010967254639,

5,6,1,0.6699981689453125,

5,7,1,0.27900075912475586,

5,8,1,0.17800092697143555,O

5,1,1,8.480574131011963,

